scenario_id,source_date,simulation_hour,rainfall_mm_h,cumulative_rainfall_mm,observed_daily_rainfall_mm,temporal_profile,cohesion_kpa,friction_angle_deg,unit_weight_kn_m3,young_modulus_mpa,poisson_ratio,permeability_m_s,drainage_efficiency,water_table_m,storage_coefficient,mesh_nodes,mesh_elements,gravity_total_max_displacement_mm,rainfall_induced_max_displacement_mm,crest_displacement_mm,toe_displacement_mm,maximum_pore_pressure_kpa,mean_effective_stress_kpa,mohr_coulomb_safety_index,risk_level,solver_iterations,solver_residual,rainfall_source,mechanical_response_source,parameter_source,scientific_status
TA01-S0001,2021-01-14,1,4.286667,4.286667,102.88,RECTANGULAR_24H_ESTIMATED,157.503,43.02,21.952,1076.063,0.28,6.198331426882662e-7,0.6511,31.975,0.15297,92,134,54.80034,0.00398,51.2992,17.7112,277.4011,433.5514,1.677,NORMAL,57,4.99579e-9,NASA_POWER_POINT_DAILY_PRECTOTCORR,FEM2D_CST_PLANE_STRAIN_V1,TA01_ASSUMPTION_RANGE,FEM_2D_REAL_LINEAL_NO_CALIBRADO
TA01-S0001,2021-01-14,2,4.286667,8.573333,102.88,RECTANGULAR_24H_ESTIMATED,157.503,43.02,21.952,1076.063,0.28,6.198331426882662e-7,0.6511,31.975,0.15297,92,134,54.79789,0.00796,51.29708,17.71273,277.4607,433.5437,1.677,NORMAL,57,4.985637e-9,NASA_POWER_POINT_DAILY_PRECTOTCORR,FEM2D_CST_PLANE_STRAIN_V1,TA01_ASSUMPTION_RANGE,FEM_2D_REAL_LINEAL_NO_CALIBRADO
TA01-S0001,2021-01-14,3,4.286667,12.86,102.88,RECTANGULAR_24H_ESTIMATED,157.503,43.02,21.952,1076.063,0.28,6.198331426882662e-7,0.6511,31.975,0.15297,92,134,54.79544,0.01194,51.29495,17.71426,277.5204,433.536,1.677,NORMAL,57,4.988268e-9,NASA_POWER_POINT_DAILY_PRECTOTCORR,FEM2D_CST_PLANE_STRAIN_V1,TA01_ASSUMPTION_RANGE,FEM_2D_REAL_LINEAL_NO_CALIBRADO
TA01-S0001,2021-01-14,4,4.286667,17.146667,102.88,RECTANGULAR_24H_ESTIMATED,157.503,43.02,21.952,1076.063,0.28,6.198331426882662e-7,0.6511,31.975,0.15297,92,134,54.79299,0.01592,51.29283,17.71579,277.5801,433.5282,1.677,NORMAL,57,4.983167e-9,NASA_POWER_POINT_DAILY_PRECTOTCORR,FEM2D_CST_PLANE_STRAIN_V1,TA01_ASSUMPTION_RANGE,FEM_2D_REAL_LINEAL_NO_CALIBRADO
TA01-S0001,2021-01-14,5,4.286667,21.433333,102.88,RECTANGULAR_24H_ESTIMATED,157.503,43.02,21.952,1076.063,0.28,6.198331426882662e-7,0.6511,31.975,0.15297,92,134,54.79054,0.0199,51.2907,17.71732,277.6397,433.5205,1.6769,NORMAL,57,4.981259e-9,NASA_POWER_POINT_DAILY_PRECTOTCORR,FEM2D_CST_PLANE_STRAIN_V1,TA01_ASSUMPTION_RANGE,FEM_2D_REAL_LINEAL_NO_CALIBRADO
TA01-S0001,2021-01-14,6,4.286667,25.72,102.88,RECTANGULAR_24H_ESTIMATED,157.503,43.02,21.952,1076.063,0.28,6.198331426882662e-7,0.6511,31.975,0.15297,92,134,54.78809,0.02388,51.28858,17.71886,277.6994,433.5128,1.6769,NORMAL,57,4.983698e-9,NASA_POWER_POINT_DAILY_PRECTOTCORR,FEM2D_CST_PLANE_STRAIN_V1,TA01_ASSUMPTION_RANGE,FEM_2D_REAL_LINEAL_NO_CALIBRADO
TA01-S0001,2021-01-14,7,4.286667,30.006667,102.88,RECTANGULAR_24H_ESTIMATED,157.503,43.02,21.952,1076.063,0.28,6.198331426882662e-7,0.6511,31.975,0.15297,92,134,54.78564,0.02786,51.28645,17.72039,277.759,433.5051,1.6769,NORMAL,57,4.981266e-9,NASA_POWER_POINT_DAILY_PRECTOTCORR,FEM2D_CST_PLANE_STRAIN_V1,TA01_ASSUMPTION_RANGE,FEM_2D_REAL_LINEAL_NO_CALIBRADO
TA01-S0001,2021-01-14,8,4.286667,34.293333,102.88,RECTANGULAR_24H_ESTIMATED,157.503,43.02,21.952,1076.063,0.28,6.198331426882662e-7,0.6511,31.975,0.15297,92,134,54.78319,0.03185,51.28433,17.72192,277.8187,433.4974,1.6769,NORMAL,57,4.978561e-9,NASA_POWER_POINT_DAILY_PRECTOTCORR,FEM2D_CST_PLANE_STRAIN_V1,TA01_ASSUMPTION_RANGE,FEM_2D_REAL_LINEAL_NO_CALIBRADO
TA01-S0001,2021-01-14,9,4.286667,38.58,102.88,RECTANGULAR_24H_ESTIMATED,157.503,43.02,21.952,1076.063,0.28,6.198331426882662e-7,0.6511,31.975,0.15297,92,134,54.78074,0.03583,51.2822,17.72345,277.8783,433.4897,1.6769,NORMAL,57,4.976639e-9,NASA_POWER_POINT_DAILY_PRECTOTCORR,FEM2D_CST_PLANE_STRAIN_V1,TA01_ASSUMPTION_RANGE,FEM_2D_REAL_LINEAL_NO_CALIBRADO
TA01-S0001,2021-01-14,10,4.286667,42.866667,102.88,RECTANGULAR_24H_ESTIMATED,157.503,43.02,21.952,1076.063,0.28,6.198331426882662e-7,0.6511,31.975,0.15297,92,134,54.77829,0.03981,51.28008,17.72499,277.938,433.4819,1.6769,NORMAL,57,4.975156e-9,NASA_POWER_POINT_DAILY_PRECTOTCORR,FEM2D_CST_PLANE_STRAIN_V1,TA01_ASSUMPTION_RANGE,FEM_2D_REAL_LINEAL_NO_CALIBRADO
TA01-S0001,2021-01-14,11,4.286667,47.153333,102.88,RECTANGULAR_24H_ESTIMATED,157.503,43.02,21.952,1076.063,0.28,6.198331426882662e-7,0.6511,31.975,0.15297,92,134,54.77584,0.04379,51.27795,17.72652,277.9977,433.4742,1.6769,NORMAL,57,5.067798e-9,NASA_POWER_POINT_DAILY_PRECTOTCORR,FEM2D_CST_PLANE_STRAIN_V1,TA01_ASSUMPTION_RANGE,FEM_2D_REAL_LINEAL_NO_CALIBRADO
TA01-S0001,2021-01-14,12,4.286667,51.44,102.88,RECTANGULAR_24H_ESTIMATED,157.503,43.02,21.952,1076.063,0.28,6.198331426882662e-7,0.6511,31.975,0.15297,92,134,54.77339,0.04777,51.27583,17.72806,278.0573,433.4665,1.6768,NORMAL,57,4.973771e-9,NASA_POWER_POINT_DAILY_PRECTOTCORR,FEM2D_CST_PLANE_STRAIN_V1,TA01_ASSUMPTION_RANGE,FEM_2D_REAL_LINEAL_NO_CALIBRADO
TA01-S0001,2021-01-14,13,4.286667,55.726667,102.88,RECTANGULAR_24H_ESTIMATED,157.503,43.02,21.952,1076.063,0.28,6.198331426882662e-7,0.6511,31.975,0.15297,92,134,54.77094,0.05175,51.2737,17.72959,278.117,433.4588,1.6768,NORMAL,57,4.976298e-9,NASA_POWER_POINT_DAILY_PRECTOTCORR,FEM2D_CST_PLANE_STRAIN_V1,TA01_ASSUMPTION_RANGE,FEM_2D_REAL_LINEAL_NO_CALIBRADO
TA01-S0001,2021-01-14,14,4.286667,60.013333,102.88,RECTANGULAR_24H_ESTIMATED,157.503,43.02,21.952,1076.063,0.28,6.198331426882662e-7,0.6511,31.975,0.15297,92,134,54.76849,0.05573,51.27158,17.73113,278.1766,433.4511,1.6768,NORMAL,57,4.969451e-9,NASA_POWER_POINT_DAILY_PRECTOTCORR,FEM2D_CST_PLANE_STRAIN_V1,TA01_ASSUMPTION_RANGE,FEM_2D_REAL_LINEAL_NO_CALIBRADO
TA01-S0001,2021-01-14,15,4.286667,64.3,102.88,RECTANGULAR_24H_ESTIMATED,157.503,43.02,21.952,1076.063,0.28,6.198331426882662e-7,0.6511,31.975,0.15297,92,134,54.76604,0.05971,51.26945,17.73266,278.2363,433.4434,1.6768,NORMAL,57,4.969668e-9,NASA_POWER_POINT_DAILY_PRECTOTCORR,FEM2D_CST_PLANE_STRAIN_V1,TA01_ASSUMPTION_RANGE,FEM_2D_REAL_LINEAL_NO_CALIBRADO
TA01-S0001,2021-01-14,16,4.286667,68.586667,102.88,RECTANGULAR_24H_ESTIMATED,157.503,43.02,21.952,1076.063,0.28,6.198331426882662e-7,0.6511,31.975,0.15297,92,134,54.7636,0.06369,51.26733,17.7342,278.296,433.4356,1.6768,NORMAL,57,4.968927e-9,NASA_POWER_POINT_DAILY_PRECTOTCORR,FEM2D_CST_PLANE_STRAIN_V1,TA01_ASSUMPTION_RANGE,FEM_2D_REAL_LINEAL_NO_CALIBRADO
TA01-S0001,2021-01-14,17,4.286667,72.873333,102.88,RECTANGULAR_24H_ESTIMATED,157.503,43.02,21.952,1076.063,0.28,6.198331426882662e-7,0.6511,31.975,0.15297,92,134,54.76115,0.06767,51.2652,17.73573,278.3556,433.4279,1.6768,NORMAL,57,4.972539e-9,NASA_POWER_POINT_DAILY_PRECTOTCORR,FEM2D_CST_PLANE_STRAIN_V1,TA01_ASSUMPTION_RANGE,FEM_2D_REAL_LINEAL_NO_CALIBRADO
TA01-S0001,2021-01-14,18,4.286667,77.16,102.88,RECTANGULAR_24H_ESTIMATED,157.503,43.02,21.952,1076.063,0.28,6.198331426882662e-7,0.6511,31.975,0.15297,92,134,54.7587,0.07165,51.26308,17.73727,278.4153,433.4202,1.6767,NORMAL,57,4.963646e-9,NASA_POWER_POINT_DAILY_PRECTOTCORR,FEM2D_CST_PLANE_STRAIN_V1,TA01_ASSUMPTION_RANGE,FEM_2D_REAL_LINEAL_NO_CALIBRADO
TA01-S0001,2021-01-14,19,4.286667,81.446667,102.88,RECTANGULAR_24H_ESTIMATED,157.503,43.02,21.952,1076.063,0.28,6.198331426882662e-7,0.6511,31.975,0.15297,92,134,54.75625,0.07563,51.26095,17.73881,278.4749,433.4125,1.6767,NORMAL,57,4.967637e-9,NASA_POWER_POINT_DAILY_PRECTOTCORR,FEM2D_CST_PLANE_STRAIN_V1,TA01_ASSUMPTION_RANGE,FEM_2D_REAL_LINEAL_NO_CALIBRADO
TA01-S0001,2021-01-14,20,4.286667,85.733333,102.88,RECTANGULAR_24H_ESTIMATED,157.503,43.02,21.952,1076.063,0.28,6.198331426882662e-7,0.6511,31.975,0.15297,92,134,54.7538,0.07961,51.25883,17.74034,278.5346,433.4048,1.6767,NORMAL,57,4.962084e-9,NASA_POWER_POINT_DAILY_PRECTOTCORR,FEM2D_CST_PLANE_STRAIN_V1,TA01_ASSUMPTION_RANGE,FEM_2D_REAL_LINEAL_NO_CALIBRADO
TA01-S0001,2021-01-14,21,4.286667,90.02,102.88,RECTANGULAR_24H_ESTIMATED,157.503,43.02,21.952,1076.063,0.28,6.198331426882662e-7,0.6511,31.975,0.15297,92,134,54.75135,0.08359,51.2567,17.74188,278.5942,433.3971,1.6767,NORMAL,57,4.959938e-9,NASA_POWER_POINT_DAILY_PRECTOTCORR,FEM2D_CST_PLANE_STRAIN_V1,TA01_ASSUMPTION_RANGE,FEM_2D_REAL_LINEAL_NO_CALIBRADO
TA01-S0001,2021-01-14,22,4.286667,94.306667,102.88,RECTANGULAR_24H_ESTIMATED,157.503,43.02,21.952,1076.063,0.28,6.198331426882662e-7,0.6511,31.975,0.15297,92,134,54.74891,0.08757,51.25458,17.74342,278.6539,433.3893,1.6767,NORMAL,57,5.037859e-9,NASA_POWER_POINT_DAILY_PRECTOTCORR,FEM2D_CST_PLANE_STRAIN_V1,TA01_ASSUMPTION_RANGE,FEM_2D_REAL_LINEAL_NO_CALIBRADO
TA01-S0001,2021-01-14,23,4.286667,98.593333,102.88,RECTANGULAR_24H_ESTIMATED,157.503,43.02,21.952,1076.063,0.28,6.198331426882662e-7,0.6511,31.975,0.15297,92,134,54.74646,0.09156,51.25245,17.74495,278.7136,433.3816,1.6767,NORMAL,57,4.959721e-9,NASA_POWER_POINT_DAILY_PRECTOTCORR,FEM2D_CST_PLANE_STRAIN_V1,TA01_ASSUMPTION_RANGE,FEM_2D_REAL_LINEAL_NO_CALIBRADO
TA01-S0001,2021-01-14,24,4.286667,102.88,102.88,RECTANGULAR_24H_ESTIMATED,157.503,43.02,21.952,1076.063,0.28,6.198331426882662e-7,0.6511,31.975,0.15297,92,134,54.74401,0.09554,51.25033,17.74649,278.7732,433.3739,1.6767,NORMAL,57,4.960499e-9,NASA_POWER_POINT_DAILY_PRECTOTCORR,FEM2D_CST_PLANE_STRAIN_V1,TA01_ASSUMPTION_RANGE,FEM_2D_REAL_LINEAL_NO_CALIBRADO
TA01-S0002,2023-03-03,1,0,0,50.41,RECTANGULAR_12H_ESTIMATED,231.126,32.996,20.281,861.241,0.28,1.3054322033415027e-8,0.24698,19.228,0.20395,92,134,64.27509,0,60.19342,18.94029,152.2933,419.5514,1.8314,NORMAL,56,8.361654e-9,NASA_POWER_POINT_DAILY_PRECTOTCORR,FEM2D_CST_PLANE_STRAIN_V1,TA01_ASSUMPTION_RANGE,FEM_2D_REAL_LINEAL_NO_CALIBRADO
TA01-S0002,2023-03-03,2,0,0,50.41,RECTANGULAR_12H_ESTIMATED,231.126,32.996,20.281,861.241,0.28,1.3054322033415027e-8,0.24698,19.228,0.20395,92,134,64.27509,0,60.19342,18.94029,152.2933,419.5514,1.8314,NORMAL,56,8.361654e-9,NASA_POWER_POINT_DAILY_PRECTOTCORR,FEM2D_CST_PLANE_STRAIN_V1,TA01_ASSUMPTION_RANGE,FEM_2D_REAL_LINEAL_NO_CALIBRADO
TA01-S0002,2023-03-03,3,0,0,50.41,RECTANGULAR_12H_ESTIMATED,231.126,32.996,20.281,861.241,0.28,1.3054322033415027e-8,0.24698,19.228,0.20395,92,134,64.27509,0,60.19342,18.94029,152.2933,419.5514,1.8314,NORMAL,56,8.361654e-9,NASA_POWER_POINT_DAILY_PRECTOTCORR,FEM2D_CST_PLANE_STRAIN_V1,TA01_ASSUMPTION_RANGE,FEM_2D_REAL_LINEAL_NO_CALIBRADO
TA01-S0002,2023-03-03,4,0,0,50.41,RECTANGULAR_12H_ESTIMATED,231.126,32.996,20.281,861.241,0.28,1.3054322033415027e-8,0.24698,19.228,0.20395,92,134,64.27509,0,60.19342,18.94029,152.2933,419.5514,1.8314,NORMAL,56,8.361654e-9,NASA_POWER_POINT_DAILY_PRECTOTCORR,FEM2D_CST_PLANE_STRAIN_V1,TA01_ASSUMPTION_RANGE,FEM_2D_REAL_LINEAL_NO_CALIBRADO
TA01-S0002,2023-03-03,5,0,0,50.41,RECTANGULAR_12H_ESTIMATED,231.126,32.996,20.281,861.241,0.28,1.3054322033415027e-8,0.24698,19.228,0.20395,92,134,64.27509,0,60.19342,18.94029,152.2933,419.5514,1.8314,NORMAL,56,8.361654e-9,NASA_POWER_POINT_DAILY_PRECTOTCORR,FEM2D_CST_PLANE_STRAIN_V1,TA01_ASSUMPTION_RANGE,FEM_2D_REAL_LINEAL_NO_CALIBRADO
TA01-S0002,2023-03-03,6,0,0,50.41,RECTANGULAR_12H_ESTIMATED,231.126,32.996,20.281,861.241,0.28,1.3054322033415027e-8,0.24698,19.228,0.20395,92,134,64.27509,0,60.19342,18.94029,152.2933,419.5514,1.8314,NORMAL,56,8.361654e-9,NASA_POWER_POINT_DAILY_PRECTOTCORR,FEM2D_CST_PLANE_STRAIN_V1,TA01_ASSUMPTION_RANGE,FEM_2D_REAL_LINEAL_NO_CALIBRADO
TA01-S0002,2023-03-03,7,4.200833,4.200833,50.41,RECTANGULAR_12H_ESTIMATED,231.126,32.996,20.281,861.241,0.28,1.3054322033415027e-8,0.24698,19.228,0.20395,92,134,64.27136,0.00605,60.19019,18.94081,152.3659,419.5415,1.8314,NORMAL,56,8.34542e-9,NASA_POWER_POINT_DAILY_PRECTOTCORR,FEM2D_CST_PLANE_STRAIN_V1,TA01_ASSUMPTION_RANGE,FEM_2D_REAL_LINEAL_NO_CALIBRADO
TA01-S0002,2023-03-03,8,4.200833,8.401667,50.41,RECTANGULAR_12H_ESTIMATED,231.126,32.996,20.281,861.241,0.28,1.3054322033415027e-8,0.24698,19.228,0.20395,92,134,64.26762,0.01209,60.18696,18.94132,152.4384,419.5317,1.8314,NORMAL,56,8.334565e-9,NASA_POWER_POINT_DAILY_PRECTOTCORR,FEM2D_CST_PLANE_STRAIN_V1,TA01_ASSUMPTION_RANGE,FEM_2D_REAL_LINEAL_NO_CALIBRADO
TA01-S0002,2023-03-03,9,4.200833,12.6025,50.41,RECTANGULAR_12H_ESTIMATED,231.126,32.996,20.281,861.241,0.28,1.3054322033415027e-8,0.24698,19.228,0.20395,92,134,64.26389,0.01814,60.18373,18.94184,152.5109,419.5218,1.8313,NORMAL,56,8.361693e-9,NASA_POWER_POINT_DAILY_PRECTOTCORR,FEM2D_CST_PLANE_STRAIN_V1,TA01_ASSUMPTION_RANGE,FEM_2D_REAL_LINEAL_NO_CALIBRADO
TA01-S0002,2023-03-03,10,4.200833,16.803333,50.41,RECTANGULAR_12H_ESTIMATED,231.126,32.996,20.281,861.241,0.28,1.3054322033415027e-8,0.24698,19.228,0.20395,92,134,64.26016,0.02419,60.1805,18.94236,152.5835,419.5119,1.8313,NORMAL,56,8.311164e-9,NASA_POWER_POINT_DAILY_PRECTOTCORR,FEM2D_CST_PLANE_STRAIN_V1,TA01_ASSUMPTION_RANGE,FEM_2D_REAL_LINEAL_NO_CALIBRADO
TA01-S0002,2023-03-03,11,4.200833,21.004167,50.41,RECTANGULAR_12H_ESTIMATED,231.126,32.996,20.281,861.241,0.28,1.3054322033415027e-8,0.24698,19.228,0.20395,92,134,64.25643,0.03023,60.17727,18.94287,152.656,419.5021,1.8313,NORMAL,56,8.290542e-9,NASA_POWER_POINT_DAILY_PRECTOTCORR,FEM2D_CST_PLANE_STRAIN_V1,TA01_ASSUMPTION_RANGE,FEM_2D_REAL_LINEAL_NO_CALIBRADO
TA01-S0002,2023-03-03,12,4.200833,25.205,50.41,RECTANGULAR_12H_ESTIMATED,231.126,32.996,20.281,861.241,0.28,1.3054322033415027e-8,0.24698,19.228,0.20395,92,134,64.25269,0.03628,60.17404,18.94339,152.7285,419.4922,1.8313,NORMAL,56,8.291837e-9,NASA_POWER_POINT_DAILY_PRECTOTCORR,FEM2D_CST_PLANE_STRAIN_V1,TA01_ASSUMPTION_RANGE,FEM_2D_REAL_LINEAL_NO_CALIBRADO
TA01-S0002,2023-03-03,13,4.200833,29.405833,50.41,RECTANGULAR_12H_ESTIMATED,231.126,32.996,20.281,861.241,0.28,1.3054322033415027e-8,0.24698,19.228,0.20395,92,134,64.24896,0.04233,60.17081,18.94391,152.8011,419.4824,1.8313,NORMAL,56,8.264707e-9,NASA_POWER_POINT_DAILY_PRECTOTCORR,FEM2D_CST_PLANE_STRAIN_V1,TA01_ASSUMPTION_RANGE,FEM_2D_REAL_LINEAL_NO_CALIBRADO
TA01-S0002,2023-03-03,14,4.200833,33.606667,50.41,RECTANGULAR_12H_ESTIMATED,231.126,32.996,20.281,861.241,0.28,1.3054322033415027e-8,0.24698,19.228,0.20395,92,134,64.24523,0.04837,60.16758,18.94443,152.8736,419.4725,1.8313,NORMAL,56,8.254385e-9,NASA_POWER_POINT_DAILY_PRECTOTCORR,FEM2D_CST_PLANE_STRAIN_V1,TA01_ASSUMPTION_RANGE,FEM_2D_REAL_LINEAL_NO_CALIBRADO
TA01-S0002,2023-03-03,15,4.200833,37.8075,50.41,RECTANGULAR_12H_ESTIMATED,231.126,32.996,20.281,861.241,0.28,1.3054322033415027e-8,0.24698,19.228,0.20395,92,134,64.2415,0.05442,60.16435,18.94495,152.9461,419.4626,1.8313,NORMAL,56,8.281681e-9,NASA_POWER_POINT_DAILY_PRECTOTCORR,FEM2D_CST_PLANE_STRAIN_V1,TA01_ASSUMPTION_RANGE,FEM_2D_REAL_LINEAL_NO_CALIBRADO
TA01-S0002,2023-03-03,16,4.200833,42.008333,50.41,RECTANGULAR_12H_ESTIMATED,231.126,32.996,20.281,861.241,0.28,1.3054322033415027e-8,0.24698,19.228,0.20395,92,134,64.23777,0.06047,60.16112,18.94548,153.0187,419.4528,1.8312,NORMAL,56,8.218167e-9,NASA_POWER_POINT_DAILY_PRECTOTCORR,FEM2D_CST_PLANE_STRAIN_V1,TA01_ASSUMPTION_RANGE,FEM_2D_REAL_LINEAL_NO_CALIBRADO
TA01-S0002,2023-03-03,17,4.200833,46.209167,50.41,RECTANGULAR_12H_ESTIMATED,231.126,32.996,20.281,861.241,0.28,1.3054322033415027e-8,0.24698,19.228,0.20395,92,134,64.23404,0.06652,60.15789,18.946,153.0912,419.4429,1.8312,NORMAL,56,8.203156e-9,NASA_POWER_POINT_DAILY_PRECTOTCORR,FEM2D_CST_PLANE_STRAIN_V1,TA01_ASSUMPTION_RANGE,FEM_2D_REAL_LINEAL_NO_CALIBRADO
TA01-S0002,2023-03-03,18,4.200833,50.41,50.41,RECTANGULAR_12H_ESTIMATED,231.126,32.996,20.281,861.241,0.28,1.3054322033415027e-8,0.24698,19.228,0.20395,92,134,64.23031,0.07256,60.15466,18.94652,153.1637,419.4331,1.8312,NORMAL,56,8.577916e-9,NASA_POWER_POINT_DAILY_PRECTOTCORR,FEM2D_CST_PLANE_STRAIN_V1,TA01_ASSUMPTION_RANGE,FEM_2D_REAL_LINEAL_NO_CALIBRADO
TA01-S0002,2023-03-03,19,0,50.41,50.41,RECTANGULAR_12H_ESTIMATED,231.126,32.996,20.281,861.241,0.28,1.3054322033415027e-8,0.24698,19.228,0.20395,92,134,64.23031,0.07256,60.15466,18.94652,153.1637,419.4331,1.8312,NORMAL,56,8.577916e-9,NASA_POWER_POINT_DAILY_PRECTOTCORR,FEM2D_CST_PLANE_STRAIN_V1,TA01_ASSUMPTION_RANGE,FEM_2D_REAL_LINEAL_NO_CALIBRADO
TA01-S0002,2023-03-03,20,0,50.41,50.41,RECTANGULAR_12H_ESTIMATED,231.126,32.996,20.281,861.241,0.28,1.3054322033415027e-8,0.24698,19.228,0.20395,92,134,64.23031,0.07256,60.15466,18.94652,153.1637,419.4331,1.8312,NORMAL,56,8.577916e-9,NASA_POWER_POINT_DAILY_PRECTOTCORR,FEM2D_CST_PLANE_STRAIN_V1,TA01_ASSUMPTION_RANGE,FEM_2D_REAL_LINEAL_NO_CALIBRADO
TA01-S0002,2023-03-03,21,0,50.41,50.41,RECTANGULAR_12H_ESTIMATED,231.126,32.996,20.281,861.241,0.28,1.3054322033415027e-8,0.24698,19.228,0.20395,92,134,64.23031,0.07256,60.15466,18.94652,153.1637,419.4331,1.8312,NORMAL,56,8.577916e-9,NASA_POWER_POINT_DAILY_PRECTOTCORR,FEM2D_CST_PLANE_STRAIN_V1,TA01_ASSUMPTION_RANGE,FEM_2D_REAL_LINEAL_NO_CALIBRADO
TA01-S0002,2023-03-03,22,0,50.41,50.41,RECTANGULAR_12H_ESTIMATED,231.126,32.996,20.281,861.241,0.28,1.3054322033415027e-8,0.24698,19.228,0.20395,92,134,64.23031,0.07256,60.15466,18.94652,153.1637,419.4331,1.8312,NORMAL,56,8.577916e-9,NASA_POWER_POINT_DAILY_PRECTOTCORR,FEM2D_CST_PLANE_STRAIN_V1,TA01_ASSUMPTION_RANGE,FEM_2D_REAL_LINEAL_NO_CALIBRADO
TA01-S0002,2023-03-03,23,0,50.41,50.41,RECTANGULAR_12H_ESTIMATED,231.126,32.996,20.281,861.241,0.28,1.3054322033415027e-8,0.24698,19.228,0.20395,92,134,64.23031,0.07256,60.15466,18.94652,153.1637,419.4331,1.8312,NORMAL,56,8.577916e-9,NASA_POWER_POINT_DAILY_PRECTOTCORR,FEM2D_CST_PLANE_STRAIN_V1,TA01_ASSUMPTION_RANGE,FEM_2D_REAL_LINEAL_NO_CALIBRADO
TA01-S0002,2023-03-03,24,0,50.41,50.41,RECTANGULAR_12H_ESTIMATED,231.126,32.996,20.281,861.241,0.28,1.3054322033415027e-8,0.24698,19.228,0.20395,92,134,64.23031,0.07256,60.15466,18.94652,153.1637,419.4331,1.8312,NORMAL,56,8.577916e-9,NASA_POWER_POINT_DAILY_PRECTOTCORR,FEM2D_CST_PLANE_STRAIN_V1,TA01_ASSUMPTION_RANGE,FEM_2D_REAL_LINEAL_NO_CALIBRADO
TA01-S0003,2021-04-14,1,0,0,0,RECTANGULAR_24H_ESTIMATED,169.836,37.789,25.731,2919.362,0.28,1.3933560022503837e-9,0.19506,55.975,0.28207,92,134,22.46427,0,21.16209,11.49736,512.7814,451.2684,1.3355,NORMAL,57,7.413806e-9,NASA_POWER_POINT_DAILY_PRECTOTCORR,FEM2D_CST_PLANE_STRAIN_V1,TA01_ASSUMPTION_RANGE,FEM_2D_REAL_LINEAL_NO_CALIBRADO
TA01-S0003,2021-04-14,2,0,0,0,RECTANGULAR_24H_ESTIMATED,169.836,37.789,25.731,2919.362,0.28,1.3933560022503837e-9,0.19506,55.975,0.28207,92,134,22.46427,0,21.16209,11.49736,512.7814,451.2684,1.3355,NORMAL,57,7.413806e-9,NASA_POWER_POINT_DAILY_PRECTOTCORR,FEM2D_CST_PLANE_STRAIN_V1,TA01_ASSUMPTION_RANGE,FEM_2D_REAL_LINEAL_NO_CALIBRADO
TA01-S0003,2021-04-14,3,0,0,0,RECTANGULAR_24H_ESTIMATED,169.836,37.789,25.731,2919.362,0.28,1.3933560022503837e-9,0.19506,55.975,0.28207,92,134,22.46427,0,21.16209,11.49736,512.7814,451.2684,1.3355,NORMAL,57,7.413806e-9,NASA_POWER_POINT_DAILY_PRECTOTCORR,FEM2D_CST_PLANE_STRAIN_V1,TA01_ASSUMPTION_RANGE,FEM_2D_REAL_LINEAL_NO_CALIBRADO
TA01-S0003,2021-04-14,4,0,0,0,RECTANGULAR_24H_ESTIMATED,169.836,37.789,25.731,2919.362,0.28,1.3933560022503837e-9,0.19506,55.975,0.28207,92,134,22.46427,0,21.16209,11.49736,512.7814,451.2684,1.3355,NORMAL,57,7.413806e-9,NASA_POWER_POINT_DAILY_PRECTOTCORR,FEM2D_CST_PLANE_STRAIN_V1,TA01_ASSUMPTION_RANGE,FEM_2D_REAL_LINEAL_NO_CALIBRADO
TA01-S0003,2021-04-14,5,0,0,0,RECTANGULAR_24H_ESTIMATED,169.836,37.789,25.731,2919.362,0.28,1.3933560022503837e-9,0.19506,55.975,0.28207,92,134,22.46427,0,21.16209,11.49736,512.7814,451.2684,1.3355,NORMAL,57,7.413806e-9,NASA_POWER_POINT_DAILY_PRECTOTCORR,FEM2D_CST_PLANE_STRAIN_V1,TA01_ASSUMPTION_RANGE,FEM_2D_REAL_LINEAL_NO_CALIBRADO
TA01-S0003,2021-04-14,6,0,0,0,RECTANGULAR_24H_ESTIMATED,169.836,37.789,25.731,2919.362,0.28,1.3933560022503837e-9,0.19506,55.975,0.28207,92,134,22.46427,0,21.16209,11.49736,512.7814,451.2684,1.3355,NORMAL,57,7.413806e-9,NASA_POWER_POINT_DAILY_PRECTOTCORR,FEM2D_CST_PLANE_STRAIN_V1,TA01_ASSUMPTION_RANGE,FEM_2D_REAL_LINEAL_NO_CALIBRADO
TA01-S0003,2021-04-14,7,0,0,0,RECTANGULAR_24H_ESTIMATED,169.836,37.789,25.731,2919.362,0.28,1.3933560022503837e-9,0.19506,55.975,0.28207,92,134,22.46427,0,21.16209,11.49736,512.7814,451.2684,1.3355,NORMAL,57,7.413806e-9,NASA_POWER_POINT_DAILY_PRECTOTCORR,FEM2D_CST_PLANE_STRAIN_V1,TA01_ASSUMPTION_RANGE,FEM_2D_REAL_LINEAL_NO_CALIBRADO
